SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,PREVADMITTEDQUOTE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE,1 min,1 quarter,1 week,10 min,1 day,1 month,1 hour
ABRD,TQBR,АбрауДюрсо,198.0,10,1.0,A,Т+: Акции и ДР - безадрес.,1,Абрау-Дюрсо ПАО ао,,FNDT,EQIN,,0.5,198.5,SUR,2021-06-15,98000184,RU000A0JS5T7,Abrau-Durso ao,1-02-12500-A,198.5,198.5,SUR,1,3,2021-06-18,2014-06-09 10:50:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:50:00 / 2021-06-16 18:39:09,2014-06-09 00:00:00 / 2021-06-16 21:55:50,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:39:09
ACKO,TQBR,АСКО ао,5.96,100,1.0,A,Т+: Акции и ДР - безадрес.,2,АСКО-СТРАХОВАНИЕ ПАО ао,,FNDT,EQIN,,0.02,5.98,SUR,2021-06-15,536000000,RU000A0JXS91,ASKO-STRAKHOVANIE ao,1-01-52065-Z,5.98,5.98,SUR,1,3,2021-06-18,2017-07-11 12:39:00 / 2021-06-16 18:59:59,2017-07-01 00:00:00 / 2021-06-16 00:00:00,2017-07-10 00:00:00 / 2021-06-16 00:00:00,2017-07-11 12:30:00 / 2021-06-16 18:19:20,2017-07-11 00:00:00 / 2021-06-16 21:55:50,2017-07-01 00:00:00 / 2021-06-16 00:00:00,2017-07-11 12:00:00 / 2021-06-16 18:19:20
AFKS,TQBR,Система ао,32.428,100,0.09,A,Т+: Акции и ДР - безадрес.,3,"АФК ""Система"" ПАО ао",,FNDT,EQIN,,0.001,32.863,SUR,2021-06-15,9650000000,RU000A0DQZE3,AFK Sistema,1-05-01669-A,32.3,32.3,SUR,1,1,2021-06-18,2014-06-09 10:01:00 / 2021-06-16 21:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 21:55:49,2014-06-09 00:00:00 / 2021-06-16 21:55:50,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 21:55:49
AFLT,TQBR,Аэрофлот,71.06,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Аэрофлот-росс.авиалин(ПАО)ао,,FNDT,EQIN,,0.02,71.56,SUR,2021-06-15,2444535448,RU0009062285,Aeroflot,1-01-00010-A,71.02,71.02,SUR,1,1,2021-06-18,2011-12-15 10:00:00 / 2021-06-16 21:59:59,2007-07-01 00:00:00 / 2021-06-16 00:00:00,2007-08-20 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 21:56:07,2007-08-21 00:00:00 / 2021-06-16 21:55:50,2007-08-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 21:56:07
AGRO,TQBR,AGRO-гдр,1008.0,1,0.0,A,Т+: Акции и ДР - безадрес.,1,ГДР ROS AGRO PLC ORD SHS,,FNDT,EQIN,,0.2,1016.2,USD,2021-06-15,0,US7496552057,GDR ROS AGRO PLC ORD SHS,,1008.0,1008.0,SUR,D,1,2021-06-18,2014-12-01 15:10:00 / 2021-06-16 18:59:59,2014-10-01 00:00:00 / 2021-06-16 00:00:00,2014-12-01 00:00:00 / 2021-06-16 00:00:00,2014-12-01 15:10:00 / 2021-06-16 18:48:14,2014-12-01 00:00:00 / 2021-06-16 21:55:50,2014-12-01 00:00:00 / 2021-06-16 00:00:00,2014-12-01 15:00:00 / 2021-06-16 18:48:14
AKRN,TQBR,Акрон,5958.0,1,5.0,A,Т+: Акции и ДР - безадрес.,0,Акрон ПАО ао,,FNDT,EQIN,,2.0,5962.0,SUR,2021-06-15,40534000,RU0009028674,Acron,1-03-00207-A,5958.0,5958.0,SUR,1,2,2021-06-18,2014-06-09 10:00:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:49:59,2014-06-09 00:00:00 / 2021-06-16 21:55:50,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:59:59
ALBK,TQBR,БестЭфБ ао,69.0,10,10.0,A,Т+: Акции и ДР - безадрес.,1,Бест Эффортс Банк ПАО ао,,FNDT,EQIN,,0.5,69.5,SUR,2021-06-15,56490000,RU000A0JS2M9,Best Efforts Bank ao,10400435B,69.0,69.0,SUR,1,3,2021-06-18,2014-06-25 17:43:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-23 00:00:00 / 2021-06-16 00:00:00,2014-06-25 17:40:00 / 2021-06-16 18:19:59,2014-06-25 00:00:00 / 2021-06-16 21:55:50,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-25 17:00:00 / 2021-06-16 18:20:19
ALNU,TQBR,АЛРОСА-Нюр,65400.0,1,25.0,N,Т+: Акции и ДР - безадрес.,0,АЛРОСА-Нюрба ПАО ао,,FNDT,EQIN,,200.0,65000.0,SUR,2021-06-15,800000,RU000A0JP468,ALROSA-Nurba ao,1-01-20179-F,65400.0,65400.0,SUR,1,3,2021-06-18,2014-06-16 13:59:00 / 2021-05-11 18:34:00,2014-04-01 00:00:00 / 2021-04-01 00:00:00,2014-06-16 00:00:00 / 2021-05-10 00:00:00,2014-06-16 13:50:00 / 2021-05-11 18:30:00,2014-06-16 00:00:00 / 2021-05-11 00:00:00,2014-06-01 00:00:00 / 2021-05-01 00:00:00,2014-06-16 13:00:00 / 2021-05-11 18:00:00
ALRS,TQBR,АЛРОСА ао,137.69,10,0.5,A,Т+: Акции и ДР - безадрес.,2,АЛРОСА ПАО ао,,FNDT,EQIN,,0.01,138.98,SUR,2021-06-15,7364965630,RU0007252813,ALROSA ao,1-03-40046-N,137.36,137.36,SUR,1,1,2021-06-18,2012-10-02 10:03:00 / 2021-06-16 21:59:59,2012-10-01 00:00:00 / 2021-06-16 00:00:00,2012-10-01 00:00:00 / 2021-06-16 00:00:00,2012-10-02 10:00:00 / 2021-06-16 21:56:08,2012-10-02 00:00:00 / 2021-06-16 21:55:50,2012-10-01 00:00:00 / 2021-06-16 00:00:00,2012-10-02 10:00:00 / 2021-06-16 21:56:08
AMEZ,TQBR,АшинскийМЗ,12.36,100,1.0,A,Т+: Акции и ДР - безадрес.,3, Ашинский метзавод ПАО ао,,FNDT,EQIN,,0.005,12.485,SUR,2021-06-15,498454822,RU000A0B88G6,Ashinckiy metzavod PAO,1-03-45219-D,12.36,12.36,SUR,1,2,2021-06-18,2014-06-09 11:19:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:10:00 / 2021-06-16 18:46:08,2014-06-09 00:00:00 / 2021-06-16 21:55:50,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:00:00 / 2021-06-16 18:46:08
